Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-09-14_16:54:14,2800 MHz,1631.0 MHz,0 (N/A) run sudo,5.8 %,41.0 C,41.0 C,24.4 W,25.0 W,1023.0 RPM
2018-09-14_16:54:14,2800 MHz,1936.0 MHz,0 (N/A) run sudo,6.4 %,41.0 C,41.0 C,29.9 W,30.0 W,1023.0 RPM
2018-09-14_16:54:14,2800 MHz,1858.0 MHz,0 (N/A) run sudo,2.1 %,41.0 C,41.0 C,18.1 W,30.0 W,1024.0 RPM
2018-09-14_16:54:15,2800 MHz,1950.0 MHz,0 (N/A) run sudo,2.3 %,41.0 C,41.0 C,17.2 W,30.0 W,1002.0 RPM
2018-09-14_16:54:15,2800 MHz,1675.0 MHz,0 (N/A) run sudo,2.4 %,41.0 C,41.0 C,17.1 W,30.0 W,973.0 RPM
2018-09-14_16:54:15,2800 MHz,1694.0 MHz,0 (N/A) run sudo,2.3 %,41.0 C,41.0 C,17.8 W,30.0 W,958.0 RPM
2018-09-14_16:54:15,2800 MHz,1670.0 MHz,0 (N/A) run sudo,2.2 %,41.0 C,41.0 C,17.3 W,30.0 W,945.0 RPM
2018-09-14_16:54:15,2800 MHz,1718.0 MHz,0 (N/A) run sudo,1.9 %,41.0 C,41.0 C,17.3 W,30.0 W,937.0 RPM
2018-09-14_16:54:16,2800 MHz,1639.0 MHz,0 (N/A) run sudo,2.6 %,41.0 C,41.0 C,17.2 W,30.0 W,933.0 RPM
2018-09-14_16:54:16,2800 MHz,1723.0 MHz,0 (N/A) run sudo,2.2 %,41.0 C,41.0 C,17.2 W,30.0 W,931.0 RPM
2018-09-14_16:54:16,2800 MHz,1686.0 MHz,0 (N/A) run sudo,1.9 %,41.0 C,41.0 C,17.3 W,30.0 W,929.0 RPM
2018-09-14_16:54:16,2800 MHz,1659.0 MHz,0 (N/A) run sudo,2.1 %,41.0 C,41.0 C,17.3 W,30.0 W,928.0 RPM
2018-09-14_16:54:17,2800 MHz,1992.0 MHz,0 (N/A) run sudo,2.4 %,41.0 C,41.0 C,17.5 W,30.0 W,967.0 RPM
2018-09-14_16:54:17,2800 MHz,2102.0 MHz,0 (N/A) run sudo,3.0 %,41.0 C,41.0 C,17.7 W,30.0 W,990.0 RPM
2018-09-14_16:54:17,2800 MHz,2040.0 MHz,0 (N/A) run sudo,2.3 %,41.0 C,41.0 C,17.3 W,30.0 W,1006.0 RPM
2018-09-14_16:54:17,2800 MHz,1801.0 MHz,0 (N/A) run sudo,2.5 %,41.0 C,41.0 C,17.4 W,30.0 W,1015.0 RPM
2018-09-14_16:54:17,2800 MHz,1769.0 MHz,0 (N/A) run sudo,2.3 %,41.0 C,41.0 C,17.3 W,30.0 W,1018.0 RPM
