timestamp, power.draw [W]
2018/09/14 17:10:09.962, 16.07 W
2018/09/14 17:10:10.164, 16.07 W
2018/09/14 17:10:10.365, 16.07 W
2018/09/14 17:10:10.566, 15.30 W
2018/09/14 17:10:10.767, 15.30 W
2018/09/14 17:10:10.967, 15.30 W
2018/09/14 17:10:11.168, 15.30 W
2018/09/14 17:10:11.369, 15.30 W
2018/09/14 17:10:11.570, 14.92 W
2018/09/14 17:10:11.771, 14.92 W
2018/09/14 17:10:11.971, 14.92 W
2018/09/14 17:10:12.172, 14.92 W
2018/09/14 17:10:12.373, 14.92 W
2018/09/14 17:10:12.574, 14.63 W
2018/09/14 17:10:12.775, 14.63 W
2018/09/14 17:10:12.975, 14.63 W
2018/09/14 17:10:13.177, 14.63 W
2018/09/14 17:10:13.377, 14.63 W
2018/09/14 17:10:13.578, 14.15 W
2018/09/14 17:10:13.779, 14.15 W
2018/09/14 17:10:13.980, 14.15 W
2018/09/14 17:10:14.181, 14.15 W
2018/09/14 17:10:14.381, 14.15 W
2018/09/14 17:10:14.582, 14.44 W
2018/09/14 17:10:14.783, 14.44 W
2018/09/14 17:10:14.984, 14.44 W
2018/09/14 17:10:15.184, 14.44 W
2018/09/14 17:10:15.385, 14.44 W
2018/09/14 17:10:15.586, 14.53 W
2018/09/14 17:10:15.787, 14.53 W
2018/09/14 17:10:15.987, 14.53 W
2018/09/14 17:10:16.188, 14.53 W
2018/09/14 17:10:16.389, 14.53 W
2018/09/14 17:10:16.590, 14.63 W
2018/09/14 17:10:16.791, 14.63 W
2018/09/14 17:10:16.992, 14.63 W
2018/09/14 17:10:17.192, 14.63 W
2018/09/14 17:10:17.393, 14.63 W
2018/09/14 17:10:17.594, 14.53 W
2018/09/14 17:10:17.795, 14.53 W
2018/09/14 17:10:17.996, 14.53 W
2018/09/14 17:10:18.197, 14.53 W
2018/09/14 17:10:18.398, 14.53 W
2018/09/14 17:10:18.598, 14.72 W
2018/09/14 17:10:18.799, 14.72 W
2018/09/14 17:10:19.000, 14.72 W
2018/09/14 17:10:19.201, 14.72 W
2018/09/14 17:10:19.402, 14.72 W
2018/09/14 17:10:19.602, 15.11 W
2018/09/14 17:10:19.803, 15.11 W
2018/09/14 17:10:20.004, 15.11 W
2018/09/14 17:10:20.204, 15.11 W
2018/09/14 17:10:20.405, 15.11 W
2018/09/14 17:10:20.606, 14.82 W
2018/09/14 17:10:20.807, 14.82 W
2018/09/14 17:10:21.008, 14.82 W
2018/09/14 17:10:21.208, 14.82 W
2018/09/14 17:10:21.410, 14.82 W
2018/09/14 17:10:21.610, 15.49 W
2018/09/14 17:10:21.811, 15.49 W
2018/09/14 17:10:22.012, 15.49 W
2018/09/14 17:10:22.212, 15.49 W
2018/09/14 17:10:22.413, 15.49 W
2018/09/14 17:10:22.614, 15.30 W
2018/09/14 17:10:22.814, 15.30 W
2018/09/14 17:10:23.015, 15.30 W
2018/09/14 17:10:23.217, 15.30 W
2018/09/14 17:10:23.417, 15.30 W
2018/09/14 17:10:23.618, 14.82 W
2018/09/14 17:10:23.820, 14.82 W
2018/09/14 17:10:24.020, 14.82 W
2018/09/14 17:10:24.221, 14.82 W
2018/09/14 17:10:24.422, 14.82 W
2018/09/14 17:10:24.623, 16.07 W
2018/09/14 17:10:24.823, 16.07 W
2018/09/14 17:10:25.025, 16.07 W
2018/09/14 17:10:25.225, 16.07 W
2018/09/14 17:10:25.426, 16.07 W
2018/09/14 17:10:25.627, 15.40 W
2018/09/14 17:10:25.828, 15.40 W
2018/09/14 17:10:26.029, 15.40 W
2018/09/14 17:10:26.230, 15.40 W
2018/09/14 17:10:26.430, 15.40 W
2018/09/14 17:10:26.631, 16.55 W
