Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_11:10:06.311920,0.029765207471733002,0.008826294833889,0.7512207,0.01174927,0.020938912637844,0.9016113,0.02322388
2019-03-25_11:10:06.643826,0.030019710225953997,0.008860678205328,0.7512207,0.01179504,0.021159032020626,0.9016113,0.02346802
2019-03-25_11:10:06.987913,0.029836839203606004,0.008760358713608,0.7514648,0.01165771,0.021076480489998002,0.9016113,0.02337646
2019-03-25_11:10:07.318227,0.028959024179577998,0.008243034452796,0.7513428,0.01097107,0.020715989726782,0.9014893,0.02297974
2019-03-25_11:10:07.640763,0.029634546002015996,0.008585573672780998,0.7512207,0.01142883,0.021048972329235,0.9016113,0.02334595
2019-03-25_11:10:07.962765,0.029500660710306,0.008781867455244001,0.7513428,0.01168823,0.020718793255062,0.9016113,0.02297974
2019-03-25_11:10:08.283147,0.029198000324850003,0.008919445835352,0.7513428,0.01187134,0.020278554489498002,0.9016113,0.02249146
2019-03-25_11:10:08.611270,0.029610202529644997,0.008839194910884,0.7513428,0.01176453,0.020771007618761,0.9014893,0.02304077
2019-03-25_11:10:08.970886,0.029815098587904,0.008906532716856,0.7512207,0.01185608,0.020908565871048,0.9014893,0.02319336
2019-03-25_11:10:09.321062,0.029331875088605998,0.008585573672780998,0.7512207,0.01142883,0.020746301415825,0.9016113,0.02301025
2019-03-25_11:10:09.667880,0.030101408838234,0.008942376817608,0.7513428,0.01190186,0.021159032020626,0.9016113,0.02346802
2019-03-25_11:10:09.998259,0.029132923070469,0.008771826066456,0.7514648,0.01167297,0.020361097004013,0.9016113,0.02258301
2019-03-25_11:10:10.325355,0.029861806189723,0.009002620626234999,0.7515869,0.01197815,0.020859185563488,0.9017334,0.02313232
2019-03-25_11:10:10.650419,0.028832539732399003,0.008691562111168002,0.7514648,0.01156616,0.020140977621231,0.9016113,0.02233887
2019-03-25_11:10:10.973739,0.030368692315959997,0.009426944042368,0.7515869,0.01254272,0.020941748273592,0.9017334,0.02322388
2019-03-25_11:10:11.308048,0.028789405411681998,0.008645700214424,0.7514648,0.01150513,0.020143705197258,0.9017334,0.02233887
2019-03-25_11:10:11.634191,0.029480016828350997,0.008953834795307999,0.7513428,0.01191711,0.020526182033043,0.9016113,0.02276611
2019-03-25_11:10:11.965866,0.029512580792408004,0.008909426785984,0.7514648,0.01185608,0.020603154006424002,0.9013672,0.02285767
2019-03-25_11:10:12.292735,0.029336992629223,0.008783293419304,0.7514648,0.01168823,0.020553699209918997,0.9016113,0.02279663
2019-03-25_11:10:12.620946,0.029950064360838004,0.00887358387084,0.7513428,0.0118103,0.021076480489998002,0.9016113,0.02337646
2019-03-25_11:10:12.955128,0.029840010671034,0.00873601300416,0.7513428,0.0116272,0.021103997666874,0.9016113,0.02340698
2019-03-25_11:10:13.280275,0.028862335468501997,0.00861129815588,0.7514648,0.01145935,0.020251037312621997,0.9016113,0.02246094
2019-03-25_11:10:13.605857,0.028498155642128,0.008519566847744001,0.7514648,0.01133728,0.019978588794384,0.9017334,0.02215576
2019-03-25_11:10:13.936045,0.0297021069872,0.008760358713608,0.7514648,0.01165771,0.020941748273592,0.9017334,0.02322388
2019-03-25_11:10:14.264560,0.029453398407879,0.008597037300663,0.7512207,0.01144409,0.020856361107216,0.9016113,0.02313232
