Time,,,,,,,Power,Volts,Amps,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,0.3,5,0.06,,## offset for analysis script
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.3006,5.01,0.06,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.3,5,0.06,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.3,5,0.06,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.3,5,0.06,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.3,5,0.06,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2004,5.01,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.3006,5.01,0.06,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,0.2,5,0.04,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,1,1,1,,## offset for analysis script
