Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-09-15_21:26:01,2800 MHz,1663.0 MHz,0 (N/A) run sudo,4.2 %,41.0 C,41.0 C,18.6 W,19.0 W,962.0 RPM
2018-09-15_21:26:01,2800 MHz,1805.0 MHz,0 (N/A) run sudo,4.1 %,41.0 C,41.0 C,21.1 W,22.0 W,1014.0 RPM
2018-09-15_21:26:01,2800 MHz,1854.0 MHz,0 (N/A) run sudo,1.7 %,41.0 C,41.0 C,15.8 W,22.0 W,993.0 RPM
2018-09-15_21:26:01,2800 MHz,1726.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,42.0 C,17.2 W,22.0 W,1007.0 RPM
2018-09-15_21:26:02,2800 MHz,2125.0 MHz,0 (N/A) run sudo,5.9 %,42.0 C,42.0 C,26.6 W,27.0 W,1015.0 RPM
2018-09-15_21:26:02,2800 MHz,2056.0 MHz,0 (N/A) run sudo,7.1 %,42.0 C,42.0 C,17.7 W,27.0 W,1018.0 RPM
2018-09-15_21:26:02,2800 MHz,2067.0 MHz,0 (N/A) run sudo,2.8 %,42.0 C,42.0 C,17.7 W,27.0 W,1019.0 RPM
2018-09-15_21:26:02,2800 MHz,1841.0 MHz,0 (N/A) run sudo,2.9 %,42.0 C,42.0 C,18.1 W,27.0 W,1021.0 RPM
2018-09-15_21:26:02,2800 MHz,1870.0 MHz,0 (N/A) run sudo,4.6 %,42.0 C,42.0 C,19.5 W,27.0 W,1022.0 RPM
2018-09-15_21:26:03,2800 MHz,1756.0 MHz,0 (N/A) run sudo,3.0 %,42.0 C,42.0 C,19.6 W,27.0 W,1021.0 RPM
2018-09-15_21:26:03,2800 MHz,1869.0 MHz,0 (N/A) run sudo,3.0 %,42.0 C,42.0 C,20.2 W,27.0 W,996.0 RPM
2018-09-15_21:26:03,2800 MHz,2142.0 MHz,0 (N/A) run sudo,3.8 %,42.0 C,42.0 C,20.8 W,27.0 W,969.0 RPM
2018-09-15_21:26:03,2800 MHz,2151.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,42.0 C,16.8 W,27.0 W,954.0 RPM
2018-09-15_21:26:04,2800 MHz,1840.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,42.0 C,16.4 W,27.0 W,942.0 RPM
2018-09-15_21:26:04,2800 MHz,1942.0 MHz,0 (N/A) run sudo,2.4 %,42.0 C,42.0 C,16.4 W,27.0 W,936.0 RPM
2018-09-15_21:26:04,2800 MHz,1999.0 MHz,0 (N/A) run sudo,3.2 %,42.0 C,42.0 C,17.5 W,27.0 W,932.0 RPM
2018-09-15_21:26:04,2800 MHz,2019.0 MHz,0 (N/A) run sudo,4.3 %,42.0 C,42.0 C,19.9 W,27.0 W,931.0 RPM
2018-09-15_21:26:04,2800 MHz,2062.0 MHz,0 (N/A) run sudo,4.2 %,42.0 C,42.0 C,16.9 W,27.0 W,929.0 RPM
2018-09-15_21:26:05,2800 MHz,2020.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,16.2 W,27.0 W,929.0 RPM
2018-09-15_21:26:05,2800 MHz,2039.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,15.9 W,27.0 W,961.0 RPM
2018-09-15_21:26:05,2800 MHz,1752.0 MHz,0 (N/A) run sudo,2.6 %,42.0 C,42.0 C,16.0 W,27.0 W,992.0 RPM
2018-09-15_21:26:05,2800 MHz,1739.0 MHz,0 (N/A) run sudo,2.4 %,42.0 C,42.0 C,16.2 W,27.0 W,1006.0 RPM
2018-09-15_21:26:06,2800 MHz,1950.0 MHz,0 (N/A) run sudo,6.1 %,42.0 C,42.0 C,18.3 W,27.0 W,1014.0 RPM
2018-09-15_21:26:06,2800 MHz,2175.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,18.2 W,27.0 W,1065.0 RPM
2018-09-15_21:26:06,2800 MHz,2104.0 MHz,0 (N/A) run sudo,2.1 %,42.0 C,42.0 C,18.1 W,27.0 W,1022.0 RPM
2018-09-15_21:26:06,2800 MHz,2136.0 MHz,0 (N/A) run sudo,3.4 %,42.0 C,42.0 C,21.0 W,27.0 W,1023.0 RPM
2018-09-15_21:26:06,2800 MHz,2122.0 MHz,0 (N/A) run sudo,2.3 %,42.0 C,42.0 C,18.9 W,27.0 W,1023.0 RPM
2018-09-15_21:26:07,2800 MHz,2154.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,42.0 C,17.7 W,27.0 W,1022.0 RPM
2018-09-15_21:26:07,2800 MHz,1716.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,17.5 W,27.0 W,988.0 RPM
2018-09-15_21:26:07,2800 MHz,1849.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,17.6 W,27.0 W,969.0 RPM
2018-09-15_21:26:07,2800 MHz,1831.0 MHz,0 (N/A) run sudo,1.9 %,42.0 C,42.0 C,17.7 W,27.0 W,955.0 RPM
2018-09-15_21:26:07,2800 MHz,2079.0 MHz,0 (N/A) run sudo,3.0 %,42.0 C,42.0 C,17.8 W,27.0 W,942.0 RPM
2018-09-15_21:26:08,2800 MHz,1883.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,42.0 C,17.5 W,27.0 W,936.0 RPM
2018-09-15_21:26:08,2800 MHz,1933.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,17.5 W,27.0 W,933.0 RPM
2018-09-15_21:26:08,2800 MHz,1724.0 MHz,0 (N/A) run sudo,1.7 %,42.0 C,42.0 C,17.4 W,27.0 W,931.0 RPM
2018-09-15_21:26:08,2800 MHz,1762.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,17.6 W,27.0 W,930.0 RPM
2018-09-15_21:26:09,2800 MHz,1763.0 MHz,0 (N/A) run sudo,1.3 %,42.0 C,42.0 C,17.8 W,27.0 W,929.0 RPM
2018-09-15_21:26:09,2800 MHz,1741.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,18.3 W,27.0 W,972.0 RPM
2018-09-15_21:26:09,2800 MHz,2056.0 MHz,0 (N/A) run sudo,1.5 %,42.0 C,42.0 C,17.3 W,27.0 W,992.0 RPM
