Time,Top Freq,Cur Freq,Perf Lost,Utilization,Cur Temp,Max Temp,Cur Power,Max Power,Fan
2018-11-23_15:12:40,2800 MHz,2023.0 MHz,0 (N/A) run sudo,8.3 %,45.0 C,45.0 C,30.0 W,31.0 W,1019.0 RPM
2018-11-23_15:12:40,2800 MHz,1949.0 MHz,0 (N/A) run sudo,6.3 %,45.0 C,45.0 C,34.0 W,34.0 W,1011.0 RPM
2018-11-23_15:12:40,2800 MHz,1881.0 MHz,0 (N/A) run sudo,4.6 %,45.0 C,45.0 C,21.2 W,34.0 W,990.0 RPM
2018-11-23_15:12:40,2800 MHz,1780.0 MHz,0 (N/A) run sudo,4.9 %,45.0 C,45.0 C,20.9 W,34.0 W,975.0 RPM
2018-11-23_15:12:40,2800 MHz,1797.0 MHz,0 (N/A) run sudo,4.1 %,45.0 C,45.0 C,21.0 W,34.0 W,961.0 RPM
2018-11-23_15:12:41,2800 MHz,1794.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,45.0 C,20.6 W,34.0 W,953.0 RPM
2018-11-23_15:12:41,2800 MHz,1744.0 MHz,0 (N/A) run sudo,4.5 %,45.0 C,45.0 C,20.3 W,34.0 W,949.0 RPM
2018-11-23_15:12:41,2800 MHz,1992.0 MHz,0 (N/A) run sudo,4.3 %,45.0 C,45.0 C,20.3 W,34.0 W,946.0 RPM
2018-11-23_15:12:41,2800 MHz,1957.0 MHz,0 (N/A) run sudo,5.5 %,46.0 C,46.0 C,20.2 W,34.0 W,945.0 RPM
2018-11-23_15:12:42,2800 MHz,1824.0 MHz,0 (N/A) run sudo,4.7 %,46.0 C,46.0 C,19.4 W,34.0 W,944.0 RPM
2018-11-23_15:12:42,2800 MHz,1936.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,46.0 C,19.9 W,34.0 W,993.0 RPM
2018-11-23_15:12:42,2800 MHz,1947.0 MHz,0 (N/A) run sudo,4.0 %,46.0 C,46.0 C,20.8 W,34.0 W,1013.0 RPM
2018-11-23_15:12:42,2800 MHz,1950.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,46.0 C,19.8 W,34.0 W,1025.0 RPM
2018-11-23_15:12:42,2800 MHz,1986.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,46.0 C,20.0 W,34.0 W,1035.0 RPM
2018-11-23_15:12:43,2800 MHz,1911.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,46.0 C,19.8 W,34.0 W,1038.0 RPM
2018-11-23_15:12:43,2800 MHz,1881.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,46.0 C,20.5 W,34.0 W,1041.0 RPM
2018-11-23_15:12:43,2800 MHz,2010.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,46.0 C,20.2 W,34.0 W,1043.0 RPM
2018-11-23_15:12:43,2800 MHz,1910.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,46.0 C,20.0 W,34.0 W,1043.0 RPM
2018-11-23_15:12:44,2800 MHz,2047.0 MHz,0 (N/A) run sudo,4.2 %,47.0 C,47.0 C,21.0 W,34.0 W,1044.0 RPM
2018-11-23_15:12:44,2800 MHz,1945.0 MHz,0 (N/A) run sudo,4.7 %,47.0 C,47.0 C,19.7 W,34.0 W,1007.0 RPM
2018-11-23_15:12:44,2800 MHz,1916.0 MHz,0 (N/A) run sudo,4.7 %,47.0 C,47.0 C,19.9 W,34.0 W,987.0 RPM
2018-11-23_15:12:44,2800 MHz,1806.0 MHz,0 (N/A) run sudo,4.1 %,47.0 C,47.0 C,20.1 W,34.0 W,973.0 RPM
2018-11-23_15:12:44,2800 MHz,1870.0 MHz,0 (N/A) run sudo,4.3 %,47.0 C,47.0 C,20.1 W,34.0 W,960.0 RPM
2018-11-23_15:12:45,2800 MHz,1884.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,47.0 C,20.0 W,34.0 W,953.0 RPM
2018-11-23_15:12:45,2800 MHz,1927.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,47.0 C,19.9 W,34.0 W,950.0 RPM
2018-11-23_15:12:45,2800 MHz,1966.0 MHz,0 (N/A) run sudo,4.3 %,46.0 C,47.0 C,20.8 W,34.0 W,947.0 RPM
2018-11-23_15:12:45,2800 MHz,2094.0 MHz,0 (N/A) run sudo,4.5 %,46.0 C,47.0 C,20.5 W,34.0 W,946.0 RPM
