timestamp, power.draw [W]
2018/09/16 13:09:19.294, 18.57 W
2018/09/16 13:09:19.496, 18.57 W
2018/09/16 13:09:19.697, 18.57 W
2018/09/16 13:09:19.898, 13.47 W
2018/09/16 13:09:20.098, 13.47 W
2018/09/16 13:09:20.299, 13.47 W
2018/09/16 13:09:20.500, 13.47 W
2018/09/16 13:09:20.701, 13.47 W
2018/09/16 13:09:20.902, 13.18 W
2018/09/16 13:09:21.102, 13.18 W
2018/09/16 13:09:21.303, 24.63 W
2018/09/16 13:09:21.504, 24.53 W
2018/09/16 13:09:21.704, 24.44 W
2018/09/16 13:09:21.908, 24.82 W
2018/09/16 13:09:22.109, 24.82 W
2018/09/16 13:09:22.310, 25.11 W
2018/09/16 13:09:22.510, 24.82 W
2018/09/16 13:09:22.716, 25.01 W
2018/09/16 13:09:22.920, 24.82 W
2018/09/16 13:09:23.123, 24.92 W
2018/09/16 13:09:23.326, 24.53 W
2018/09/16 13:09:23.527, 35.17 W
2018/09/16 13:09:23.728, 36.42 W
2018/09/16 13:09:23.928, 37.38 W
2018/09/16 13:09:24.129, 36.32 W
2018/09/16 13:09:24.329, 36.42 W
2018/09/16 13:09:24.530, 36.32 W
2018/09/16 13:09:24.731, 36.32 W
2018/09/16 13:09:24.931, 36.34 W
2018/09/16 13:09:25.132, 36.32 W
2018/09/16 13:09:25.333, 35.86 W
2018/09/16 13:09:25.533, 35.86 W
2018/09/16 13:09:25.734, 35.86 W
2018/09/16 13:09:25.938, 35.86 W
2018/09/16 13:09:26.138, 35.86 W
2018/09/16 13:09:26.339, 35.86 W
2018/09/16 13:09:26.540, 36.05 W
2018/09/16 13:09:26.740, 35.86 W
2018/09/16 13:09:26.941, 35.86 W
2018/09/16 13:09:27.145, 35.86 W
2018/09/16 13:09:27.346, 35.86 W
2018/09/16 13:09:27.546, 35.86 W
2018/09/16 13:09:27.747, 35.95 W
2018/09/16 13:09:27.948, 35.86 W
2018/09/16 13:09:28.148, 36.03 W
2018/09/16 13:09:28.349, 35.84 W
2018/09/16 13:09:28.552, 35.95 W
2018/09/16 13:09:28.753, 35.86 W
2018/09/16 13:09:28.953, 36.71 W
2018/09/16 13:09:29.154, 38.72 W
2018/09/16 13:09:29.355, 39.59 W
2018/09/16 13:09:29.555, 39.97 W
2018/09/16 13:09:29.756, 40.84 W
2018/09/16 13:09:29.957, 40.36 W
2018/09/16 13:09:30.157, 40.45 W
2018/09/16 13:09:30.360, 40.17 W
2018/09/16 13:09:30.561, 40.65 W
2018/09/16 13:09:30.761, 40.26 W
2018/09/16 13:09:30.962, 41.03 W
2018/09/16 13:09:31.163, 40.65 W
2018/09/16 13:09:31.363, 40.94 W
2018/09/16 13:09:31.567, 40.74 W
2018/09/16 13:09:31.767, 40.84 W
2018/09/16 13:09:31.968, 40.26 W
2018/09/16 13:09:32.169, 40.07 W
2018/09/16 13:09:32.369, 40.07 W
2018/09/16 13:09:32.572, 40.17 W
2018/09/16 13:09:32.773, 39.97 W
2018/09/16 13:09:32.974, 40.17 W
2018/09/16 13:09:33.174, 39.78 W
2018/09/16 13:09:33.375, 40.07 W
2018/09/16 13:09:33.578, 39.97 W
2018/09/16 13:09:33.779, 40.26 W
2018/09/16 13:09:33.980, 40.65 W
2018/09/16 13:09:34.180, 40.65 W
2018/09/16 13:09:34.381, 40.94 W
2018/09/16 13:09:34.585, 40.55 W
2018/09/16 13:09:34.785, 40.55 W
2018/09/16 13:09:34.986, 40.36 W
2018/09/16 13:09:35.187, 40.94 W
2018/09/16 13:09:35.387, 40.94 W
2018/09/16 13:09:35.590, 40.84 W
2018/09/16 13:09:35.791, 40.74 W
2018/09/16 13:09:35.991, 40.84 W
2018/09/16 13:09:36.192, 40.74 W
2018/09/16 13:09:36.393, 40.84 W
2018/09/16 13:09:36.596, 41.13 W
2018/09/16 13:09:36.797, 41.13 W
2018/09/16 13:09:36.997, 40.94 W
2018/09/16 13:09:37.198, 40.17 W
2018/09/16 13:09:37.398, 40.17 W
2018/09/16 13:09:37.601, 39.97 W
2018/09/16 13:09:37.802, 39.88 W
2018/09/16 13:09:38.003, 40.07 W
2018/09/16 13:09:38.203, 39.88 W
2018/09/16 13:09:38.404, 39.97 W
2018/09/16 13:09:38.607, 40.55 W
2018/09/16 13:09:38.808, 41.03 W
2018/09/16 13:09:39.008, 41.71 W
2018/09/16 13:09:39.209, 40.46 W
2018/09/16 13:09:39.409, 40.55 W
2018/09/16 13:09:39.613, 41.32 W
2018/09/16 13:09:39.813, 41.03 W
2018/09/16 13:09:40.014, 40.26 W
2018/09/16 13:09:40.214, 40.26 W
2018/09/16 13:09:40.415, 40.26 W
2018/09/16 13:09:40.619, 41.32 W
2018/09/16 13:09:40.820, 41.32 W
2018/09/16 13:09:41.021, 40.55 W
2018/09/16 13:09:41.221, 40.17 W
2018/09/16 13:09:41.422, 39.97 W
2018/09/16 13:09:41.625, 40.07 W
2018/09/16 13:09:41.825, 39.88 W
2018/09/16 13:09:42.026, 39.97 W
2018/09/16 13:09:42.227, 40.94 W
2018/09/16 13:09:42.427, 40.17 W
2018/09/16 13:09:42.630, 40.17 W
2018/09/16 13:09:42.831, 41.80 W
2018/09/16 13:09:43.032, 40.84 W
2018/09/16 13:09:43.232, 40.65 W
2018/09/16 13:09:43.433, 40.74 W
2018/09/16 13:09:43.637, 40.55 W
2018/09/16 13:09:43.837, 40.94 W
2018/09/16 13:09:44.038, 40.84 W
2018/09/16 13:09:44.238, 40.84 W
2018/09/16 13:09:44.439, 40.46 W
2018/09/16 13:09:44.643, 40.26 W
2018/09/16 13:09:44.843, 40.55 W
2018/09/16 13:09:45.044, 40.46 W
2018/09/16 13:09:45.244, 40.36 W
2018/09/16 13:09:45.445, 40.36 W
2018/09/16 13:09:45.649, 40.36 W
2018/09/16 13:09:45.849, 40.26 W
2018/09/16 13:09:46.050, 40.46 W
2018/09/16 13:09:46.250, 40.17 W
2018/09/16 13:09:46.451, 40.26 W
2018/09/16 13:09:46.654, 40.07 W
2018/09/16 13:09:46.855, 40.84 W
2018/09/16 13:09:47.056, 40.36 W
2018/09/16 13:09:47.256, 40.26 W
2018/09/16 13:09:47.457, 40.65 W
2018/09/16 13:09:47.660, 40.84 W
2018/09/16 13:09:47.861, 40.84 W
2018/09/16 13:09:48.061, 40.74 W
2018/09/16 13:09:48.262, 40.84 W
2018/09/16 13:09:48.462, 40.55 W
2018/09/16 13:09:48.666, 40.46 W
2018/09/16 13:09:48.866, 40.55 W
2018/09/16 13:09:49.067, 40.65 W
2018/09/16 13:09:49.267, 40.46 W
2018/09/16 13:09:49.468, 40.55 W
2018/09/16 13:09:49.671, 40.94 W
2018/09/16 13:09:49.871, 40.45 W
2018/09/16 13:09:50.072, 40.45 W
2018/09/16 13:09:50.273, 40.74 W
2018/09/16 13:09:50.473, 40.65 W
2018/09/16 13:09:50.676, 40.46 W
2018/09/16 13:09:50.876, 40.36 W
2018/09/16 13:09:51.077, 40.55 W
2018/09/16 13:09:51.278, 40.55 W
2018/09/16 13:09:51.478, 40.94 W
2018/09/16 13:09:51.682, 40.36 W
2018/09/16 13:09:51.883, 40.74 W
2018/09/16 13:09:52.083, 41.13 W
2018/09/16 13:09:52.284, 41.22 W
2018/09/16 13:09:52.484, 41.32 W
2018/09/16 13:09:52.687, 41.13 W
2018/09/16 13:09:52.888, 41.13 W
2018/09/16 13:09:53.089, 40.45 W
2018/09/16 13:09:53.289, 40.84 W
2018/09/16 13:09:53.490, 41.03 W
2018/09/16 13:09:53.693, 41.32 W
2018/09/16 13:09:53.894, 41.13 W
2018/09/16 13:09:54.094, 40.45 W
2018/09/16 13:09:54.295, 40.74 W
2018/09/16 13:09:54.495, 40.65 W
2018/09/16 13:09:54.696, 40.55 W
2018/09/16 13:09:54.899, 41.13 W
2018/09/16 13:09:55.099, 41.13 W
2018/09/16 13:09:55.300, 41.32 W
2018/09/16 13:09:55.500, 41.13 W
2018/09/16 13:09:55.701, 41.32 W
2018/09/16 13:09:55.904, 41.22 W
2018/09/16 13:09:56.105, 41.22 W
2018/09/16 13:09:56.306, 41.22 W
2018/09/16 13:09:56.506, 41.13 W
2018/09/16 13:09:56.707, 41.22 W
2018/09/16 13:09:56.907, 41.13 W
2018/09/16 13:09:57.110, 41.13 W
2018/09/16 13:09:57.311, 41.13 W
2018/09/16 13:09:57.511, 41.32 W
2018/09/16 13:09:57.712, 41.22 W
2018/09/16 13:09:57.913, 41.22 W
2018/09/16 13:09:58.115, 41.22 W
2018/09/16 13:09:58.316, 41.32 W
2018/09/16 13:09:58.517, 41.32 W
2018/09/16 13:09:58.717, 41.13 W
2018/09/16 13:09:58.918, 41.03 W
2018/09/16 13:09:59.122, 41.22 W
2018/09/16 13:09:59.322, 41.22 W
2018/09/16 13:09:59.523, 41.22 W
2018/09/16 13:09:59.724, 41.03 W
2018/09/16 13:09:59.924, 41.32 W
2018/09/16 13:10:00.127, 41.13 W
2018/09/16 13:10:00.328, 40.45 W
2018/09/16 13:10:00.529, 40.07 W
