timestamp, power.draw [W]
2018/11/23 12:26:20.128, 13.28 W
2018/11/23 12:26:20.329, 13.86 W
2018/11/23 12:26:20.530, 13.86 W
2018/11/23 12:26:20.731, 13.86 W
2018/11/23 12:26:20.932, 13.86 W
2018/11/23 12:26:21.132, 13.86 W
2018/11/23 12:26:21.333, 13.28 W
2018/11/23 12:26:21.534, 13.28 W
2018/11/23 12:26:21.735, 13.28 W
2018/11/23 12:26:21.935, 13.28 W
2018/11/23 12:26:22.136, 13.28 W
2018/11/23 12:26:22.337, 22.14 W
2018/11/23 12:26:22.538, 22.14 W
2018/11/23 12:26:22.738, 22.14 W
2018/11/23 12:26:22.939, 22.14 W
2018/11/23 12:26:23.140, 22.14 W
2018/11/23 12:26:23.341, 13.57 W
2018/11/23 12:26:23.541, 13.57 W
2018/11/23 12:26:23.742, 13.57 W
2018/11/23 12:26:23.943, 13.57 W
2018/11/23 12:26:24.144, 13.57 W
2018/11/23 12:26:24.345, 13.57 W
2018/11/23 12:26:24.545, 13.57 W
2018/11/23 12:26:24.746, 13.57 W
2018/11/23 12:26:24.947, 13.57 W
2018/11/23 12:26:25.148, 13.57 W
2018/11/23 12:26:25.349, 13.66 W
2018/11/23 12:26:25.550, 13.66 W
2018/11/23 12:26:25.750, 13.66 W
2018/11/23 12:26:25.952, 13.66 W
2018/11/23 12:26:26.153, 13.66 W
2018/11/23 12:26:26.354, 13.28 W
2018/11/23 12:26:26.554, 13.28 W
2018/11/23 12:26:26.755, 13.28 W
2018/11/23 12:26:26.956, 13.28 W
2018/11/23 12:26:27.157, 13.28 W
2018/11/23 12:26:27.357, 13.18 W
2018/11/23 12:26:27.558, 13.18 W
2018/11/23 12:26:27.759, 13.18 W
2018/11/23 12:26:27.960, 13.18 W
2018/11/23 12:26:28.161, 13.18 W
2018/11/23 12:26:28.361, 13.37 W
2018/11/23 12:26:28.562, 13.37 W
2018/11/23 12:26:28.763, 13.37 W
2018/11/23 12:26:28.964, 13.37 W
2018/11/23 12:26:29.164, 13.37 W
2018/11/23 12:26:29.365, 13.18 W
2018/11/23 12:26:29.566, 13.18 W
2018/11/23 12:26:29.767, 13.18 W
2018/11/23 12:26:29.968, 13.18 W
2018/11/23 12:26:30.168, 13.18 W
2018/11/23 12:26:30.369, 13.18 W
2018/11/23 12:26:30.570, 13.18 W
2018/11/23 12:26:30.771, 13.18 W
2018/11/23 12:26:30.972, 13.18 W
2018/11/23 12:26:31.172, 13.18 W
2018/11/23 12:26:31.373, 13.57 W
2018/11/23 12:26:31.574, 13.57 W
2018/11/23 12:26:31.775, 13.57 W
2018/11/23 12:26:31.975, 13.57 W
2018/11/23 12:26:32.176, 13.57 W
2018/11/23 12:26:32.377, 13.94 W
2018/11/23 12:26:32.578, 13.94 W
2018/11/23 12:26:32.779, 13.94 W
2018/11/23 12:26:32.980, 35.55 W
2018/11/23 12:26:33.180, 36.80 W
2018/11/23 12:26:33.386, 36.99 W
2018/11/23 12:26:33.586, 37.57 W
2018/11/23 12:26:33.787, 37.38 W
2018/11/23 12:26:33.988, 36.80 W
2018/11/23 12:26:34.188, 36.61 W
2018/11/23 12:26:34.389, 37.09 W
2018/11/23 12:26:34.589, 36.51 W
2018/11/23 12:26:34.793, 36.42 W
2018/11/23 12:26:34.993, 36.51 W
2018/11/23 12:26:35.194, 36.42 W
2018/11/23 12:26:35.395, 36.51 W
2018/11/23 12:26:35.595, 36.99 W
2018/11/23 12:26:35.799, 36.99 W
2018/11/23 12:26:36.000, 36.61 W
2018/11/23 12:26:36.200, 36.42 W
2018/11/23 12:26:36.401, 36.42 W
2018/11/23 12:26:36.602, 37.09 W
2018/11/23 12:26:36.802, 37.09 W
2018/11/23 12:26:37.004, 37.09 W
2018/11/23 12:26:37.205, 36.51 W
2018/11/23 12:26:37.406, 36.42 W
2018/11/23 12:26:37.606, 37.09 W
2018/11/23 12:26:37.807, 36.42 W
2018/11/23 12:26:38.007, 36.42 W
2018/11/23 12:26:38.210, 36.51 W
2018/11/23 12:26:38.411, 36.42 W
2018/11/23 12:26:38.611, 36.51 W
2018/11/23 12:26:38.812, 36.51 W
2018/11/23 12:26:39.012, 36.51 W
2018/11/23 12:26:39.213, 36.51 W
2018/11/23 12:26:39.416, 36.51 W
2018/11/23 12:26:39.616, 37.48 W
2018/11/23 12:26:39.817, 37.28 W
2018/11/23 12:26:40.018, 37.38 W
2018/11/23 12:26:40.218, 37.09 W
2018/11/23 12:26:40.423, 38.34 W
2018/11/23 12:26:40.626, 39.59 W
2018/11/23 12:26:40.827, 39.40 W
2018/11/23 12:26:41.027, 39.59 W
2018/11/23 12:26:41.228, 39.49 W
2018/11/23 12:26:41.428, 39.49 W
2018/11/23 12:26:41.631, 39.49 W
2018/11/23 12:26:41.832, 39.40 W
2018/11/23 12:26:42.032, 39.30 W
2018/11/23 12:26:42.233, 39.40 W
2018/11/23 12:26:42.434, 39.40 W
2018/11/23 12:26:42.636, 39.40 W
2018/11/23 12:26:42.837, 39.30 W
2018/11/23 12:26:43.037, 39.40 W
2018/11/23 12:26:43.238, 39.40 W
2018/11/23 12:26:43.438, 39.59 W
2018/11/23 12:26:43.642, 39.20 W
2018/11/23 12:26:43.842, 39.49 W
2018/11/23 12:26:44.043, 39.49 W
2018/11/23 12:26:44.243, 39.30 W
2018/11/23 12:26:44.444, 39.40 W
2018/11/23 12:26:44.647, 39.20 W
2018/11/23 12:26:44.848, 39.49 W
2018/11/23 12:26:45.049, 39.49 W
2018/11/23 12:26:45.249, 39.40 W
2018/11/23 12:26:45.450, 39.40 W
2018/11/23 12:26:45.653, 39.40 W
2018/11/23 12:26:45.854, 39.40 W
2018/11/23 12:26:46.054, 39.59 W
2018/11/23 12:26:46.255, 39.49 W
2018/11/23 12:26:46.455, 39.40 W
2018/11/23 12:26:46.659, 39.68 W
2018/11/23 12:26:46.859, 39.49 W
