Timestamp,Power
,
2018-09-18_20:02:09,5.2
2018-09-18_20:02:09,4.9
2018-09-18_20:02:09,5.7
2018-09-18_20:02:09,5.5
2018-09-18_20:02:09,6.1
2018-09-18_20:02:09,5.8
2018-09-18_20:02:09,5.6
2018-09-18_20:02:09,5.1
2018-09-18_20:02:09,5.7
2018-09-18_20:02:09,5.3
2018-09-18_20:02:09,5.8
2018-09-18_20:02:09,6.3
2018-09-18_20:02:09,5.2
2018-09-18_20:02:09,5.9
2018-09-18_20:02:09,4.9
2018-09-18_20:02:09,6
2018-09-18_20:02:09,5.1
2018-09-18_20:02:09,5.5
2018-09-18_20:02:09,5.5
2018-09-18_20:02:09,5.6
2018-09-18_20:02:09,6
2018-09-18_20:02:09,5.4
2018-09-18_20:02:09,5.2
2018-09-18_20:02:09,5.8
2018-09-18_20:02:09,5.6
2018-09-18_20:02:09,6
2018-09-18_20:02:09,4.9
2018-09-18_20:02:09,6.1
2018-09-18_20:02:09,5.7
2018-09-18_20:02:09,5
2018-09-18_20:02:09,6.4
2018-09-18_20:02:09,5.1
2018-09-18_20:02:09,5.6
2018-09-18_20:02:09,5.3
2018-09-18_20:02:09,4.5
2018-09-18_20:02:09,5.3
2018-09-18_20:02:09,6.1
2018-09-18_20:02:09,5.9
2018-09-18_20:02:09,6
2018-09-18_20:02:09,5.4
2018-09-18_20:02:09,5.8
2018-09-18_20:02:09,5.5
2018-09-18_20:02:09,6
2018-09-18_20:02:09,5.4
2018-09-18_20:02:09,5
2018-09-18_20:02:09,5.7
2018-09-18_20:02:09,5.3
2018-09-18_20:02:09,5.3
2018-09-18_20:02:09,5.6
2018-09-18_20:02:09,4.4
2018-09-18_20:02:09,4.4
2018-09-18_20:02:09,6.3
2018-09-18_20:02:09,6.2
2018-09-18_20:02:09,5.7
2018-09-18_20:02:09,5.7
2018-09-18_20:02:09,5.8
2018-09-18_20:02:09,6
2018-09-18_20:02:09,5
2018-09-18_20:02:09,5.7
2018-09-18_20:17:09,6
