Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2018-11-25_22:52:38.480076,0.031894468820447996,0.009607322709036,0.7513428,0.01278687,0.022287146111412,0.9016113,0.02471924
2018-11-25_22:52:38.877549,0.032528086311984006,0.009825144500184,0.7513428,0.01307678,0.022702941811800003,0.9017334,0.025177
2018-11-25_22:52:39.280959,0.031423585846224,0.009102878666543999,0.7513428,0.01211548,0.02232070717968,0.9018555,0.02474976
2018-11-25_22:52:39.684050,0.032298021034422,0.009790755540228001,0.7513428,0.01303101,0.022507265494194,0.9016113,0.02496338
2018-11-25_22:52:40.048123,0.031814933346882,0.009607322709036,0.7513428,0.01278687,0.022207610637846,0.9017334,0.02462769
2018-11-25_22:52:40.433968,0.031842445232916,0.009607322709036,0.7513428,0.01278687,0.02223512252388,0.9017334,0.0246582
2018-11-25_22:52:40.846969,0.031321233343029,0.009171664099884,0.7513428,0.01220703,0.022149569243144998,0.9016113,0.02456665
2018-11-25_22:52:41.250034,0.032061804844389,0.009548443292798999,0.7512207,0.01271057,0.022513361551590002,0.9018555,0.02496338
2018-11-25_22:52:41.665018,0.032315612701416,0.009502596293478001,0.7512207,0.01264954,0.022813016407938,0.9017334,0.02529907
2018-11-25_22:52:42.034008,0.03157496671875,0.009284802388133999,0.7512207,0.01235962,0.022290164330616,0.9017334,0.02471924
2018-11-25_22:52:42.417047,0.030893746358943,0.009206060573268,0.7513428,0.01225281,0.021687685785675,0.9018555,0.02404785
2018-11-25_22:52:42.813828,0.03240881625813,0.010008577331375999,0.7513428,0.01332092,0.022400238926754,0.9017334,0.02484131
2018-11-25_22:52:43.212937,0.031648164715557,0.009767824557972,0.7513428,0.01300049,0.021880340157585002,0.9018555,0.02426147
2018-11-25_22:52:43.650936,0.031372541132841,0.008837758461771,0.7512207,0.01176453,0.022534782671069998,0.9016113,0.0249939
2018-11-25_22:52:44.043122,0.032083239758544005,0.009572926235652,0.7513428,0.01274109,0.022510313522892,0.9017334,0.02496338
2018-11-25_22:52:44.434165,0.031014595604309997,0.009549995253395999,0.7513428,0.01271057,0.021464600350914,0.9017334,0.02380371
2018-11-25_22:52:44.825710,0.031574111081295,0.009391018032360001,0.7514648,0.01249695,0.022183093048935003,0.9018555,0.02459717
2018-11-25_22:52:45.218163,0.031499120844321,0.009618780686736,0.7513428,0.01280212,0.021880340157585002,0.9018555,0.02426147
2018-11-25_22:52:45.602183,0.032184876046362006,0.009699039124632,0.7513428,0.01290894,0.022485836921730003,0.9018555,0.02493286
2018-11-25_22:52:45.996748,0.031379958813567,0.009251915024351999,0.7513428,0.01231384,0.022128043789215,0.9018555,0.02453613
2018-11-25_22:52:46.385321,0.031908218388195,0.009538529762268,0.7513428,0.01269531,0.022369688625927,0.9016113,0.02481079
2018-11-25_22:52:46.785307,0.031977021255598,0.009769410617752,0.7514648,0.01300049,0.022207610637846,0.9017334,0.02462769
2018-11-25_22:52:47.188240,0.03172393675776,0.0094582788378,0.7513428,0.0125885,0.022265657919960002,0.9018555,0.02468872
2018-11-25_22:52:47.578857,0.031652888791914,0.009445278154068,0.7512207,0.01257324,0.022207610637846,0.9017334,0.02462769
2018-11-25_22:52:48.002512,0.031480144858818,0.009355096931076,0.7513428,0.01245117,0.022125047927742,0.9017334,0.02453613
2018-11-25_22:52:48.395781,0.031597867132845,0.00919459508214,0.7513428,0.01223755,0.022403272050705,0.9018555,0.02484131
2018-11-25_22:52:48.800197,0.031693471818819,0.009296266016015999,0.7512207,0.01237488,0.022397205802802998,0.9016113,0.02484131
2018-11-25_22:52:49.170891,0.031479327888112,0.009183129591012,0.7513428,0.01222229,0.0222961982971,0.9019775,0.02471924
2018-11-25_22:52:49.597441,0.031080423505392,0.008952379716177,0.7512207,0.01191711,0.022128043789215,0.9018555,0.02453613
2018-11-25_22:52:49.993205,0.031729371752844,0.009329132826089999,0.7510986,0.01242065,0.022400238926754,0.9017334,0.02484131
2018-11-25_22:52:50.416231,0.031347813804021,0.009412424386716,0.7513428,0.01252747,0.021935389417305,0.9018555,0.02432251
2018-11-25_22:52:50.817125,0.031546684891571995,0.009091413175415999,0.7513428,0.01210022,0.022455271716155998,0.9017334,0.02490234
2018-11-25_22:52:51.200574,0.032209269154377,0.009949640219841,0.7512207,0.01324463,0.022259628934536,0.9016113,0.02468872
2018-11-25_22:52:51.610702,0.031548931851921,0.009812084197464,0.7512207,0.01306152,0.021736847654457003,0.9016113,0.02410889
2018-11-25_22:52:51.981715,0.031384516710534,0.009366562422204,0.7513428,0.01246643,0.02201795428833,0.9018555,0.02441406
2018-11-25_22:52:52.385277,0.031733087197752,0.009663072059412,0.7512207,0.01286316,0.02207001513834,0.9017334,0.0244751
2018-11-25_22:52:52.786361,0.030938763453026,0.009746475912056001,0.7514648,0.01296997,0.02119228754097,0.9018555,0.02349854
2018-11-25_22:52:53.176504,0.031533596332407,0.009378027913332,0.7513428,0.01248169,0.022155568419075,0.9018555,0.02456665
2018-11-25_22:52:53.582952,0.031910509170618,0.009482749340496,0.7514648,0.01261902,0.022427759830122,0.9017334,0.02487183
2018-11-25_22:52:53.987396,0.031108656540432,0.009286311497736,0.7513428,0.01235962,0.021822345042696,0.9017334,0.02420044
2018-11-25_22:52:54.404425,0.031726217217474,0.009628681175765999,0.7512207,0.01281738,0.022097536041708,0.9017334,0.02450562
2018-11-25_22:52:54.787602,0.03090305551404,0.009273338760252,0.7512207,0.01234436,0.021629716753788,0.9017334,0.02398682
2018-11-25_22:52:55.202316,0.031645244142294,0.009492675311184,0.7513428,0.01263428,0.022152568831109998,0.9017334,0.02456665
2018-11-25_22:52:55.596472,0.103360441547165,0.04325142074852,0.7514648,0.05755615,0.060109020798645,0.9018555,0.06665039
2018-11-25_22:52:56.001394,0.098046868935318,0.03860643372612,0.7512207,0.0513916,0.059440435209198006,0.9017334,0.06591797
2018-11-25_22:52:56.396480,0.097143879267006,0.038245842978096,0.7513428,0.05090332,0.05889803628891,0.9018555,0.06530762
2018-11-25_22:52:56.800947,0.09790524848184601,0.038566854189395997,0.7513428,0.05133057,0.059338394292450004,0.9018555,0.0657959
2018-11-25_22:52:57.185104,0.098024446263237,0.038796141471672,0.7513428,0.05163574,0.059228304791565003,0.9018555,0.06567383
2018-11-25_22:52:57.588389,0.098716424853096,0.038835691259345995,0.7512207,0.05169678,0.05988073359375,0.9017334,0.06640625
2018-11-25_22:52:57.971489,0.098670406425972,0.039340045812912,0.7512207,0.05236816,0.059330360613060004,0.9017334,0.0657959
2018-11-25_22:52:58.375441,0.09855870717090601,0.038796141471672,0.7513428,0.05163574,0.059762565699234,0.9016113,0.06628418
2018-11-25_22:52:58.767476,0.098656308875389,0.038979574302864,0.7513428,0.05187988,0.059676734572524995,0.9019775,0.06616211
2018-11-25_22:52:59.155931,0.09788806919902798,0.038337559393691996,0.7513428,0.05102539,0.059550509805335994,0.9017334,0.06604004
2018-11-25_22:52:59.577278,0.09890616986112599,0.039025436267376,0.7513428,0.05194092,0.05988073359375,0.9017334,0.06640625
2018-11-25_22:52:59.988457,0.09824971970386501,0.038927392770194996,0.7512207,0.05181885,0.059322326933670004,0.9016113,0.0657959
2018-11-25_22:53:00.377311,0.09834034655315399,0.038789836747817996,0.7512207,0.05163574,0.059550509805335994,0.9017334,0.06604004
2018-11-25_22:53:00.802677,0.099027096598053,0.039248344302063,0.7512207,0.05224609,0.05977875229599,0.9018555,0.06628418
2018-11-25_22:53:01.196497,0.098273293041954,0.03861270864048,0.7513428,0.0513916,0.059660584401473996,0.9017334,0.06616211
2018-11-25_22:53:01.610638,0.098724533056221,0.038835691259345995,0.7512207,0.05169678,0.059888841796875,0.9018555,0.06640625
2018-11-25_22:53:02.005484,0.09895378307724,0.039064941280364994,0.7512207,0.05200195,0.059888841796875,0.9018555,0.06640625
2018-11-25_22:53:02.412087,0.09843204806400299,0.038881538258667,0.7512207,0.05175781,0.059550509805335994,0.9017334,0.06604004
2018-11-25_22:53:02.823617,0.09848317735206599,0.038704425056076,0.7513428,0.05151367,0.05977875229599,0.9018555,0.06628418
2018-11-25_22:53:03.238916,0.098918200960083,0.038927392770194996,0.7512207,0.05181885,0.059990808189888,0.9017334,0.06652832
2018-11-25_22:53:03.657636,0.098936574045372,0.038835691259345995,0.7512207,0.05169678,0.060100882786026,0.9017334,0.06665039
2018-11-25_22:53:04.055876,0.09843204806400299,0.038881538258667,0.7512207,0.05175781,0.059550509805335994,0.9017334,0.06604004
2018-11-25_22:53:04.456929,0.098785815478077,0.039117152682972,0.7513428,0.05206299,0.059668662795105,0.9018555,0.06616211
2018-11-25_22:53:04.839184,0.098762271852417,0.038881538258667,0.7512207,0.05175781,0.05988073359375,0.9017334,0.06640625
2018-11-25_22:53:05.243568,0.099282248100624,0.039071290718459994,0.7513428,0.05200195,0.060210957382164004,0.9017334,0.06677246
2018-11-25_22:53:05.654529,0.104274904696884,0.04264131522789,0.7512207,0.0567627,0.061633589468994,0.9016113,0.06835938
2018-11-25_22:53:06.034771,0.104932197012024,0.043290260862732,0.7513428,0.05761719,0.061641936149292,0.9017334,0.06835938
