Time,Total Power (W),P_VDD,V_VDD,I_VDD,P_VDDM,V_VDDM,I_VDDM
2019-03-25_01:13:34.756643,0.028872858246894,0.008564045664096,0.7513428,0.01139832,0.020308812582798,0.9017334,0.02252197
2019-03-25_01:13:35.128966,0.030343298854518003,0.009206060573268,0.7513428,0.01225281,0.02113723828125,0.9018555,0.0234375
2019-03-25_01:13:35.491483,0.029492001045432,0.008770401964116,0.7513428,0.01167297,0.020721599081316,0.9017334,0.02297974
2019-03-25_01:13:35.844858,0.029488838950100002,0.008794760772152,0.7514648,0.01170349,0.020694078177948,0.9017334,0.02294922
2019-03-25_01:13:36.206130,0.030174781978034998,0.0091258096488,0.7513428,0.012146,0.021048972329235,0.9016113,0.02334595
2019-03-25_01:13:36.582756,0.029654771423874002,0.0091258096488,0.7513428,0.012146,0.020528961775074,0.9017334,0.02276611
2019-03-25_01:13:36.964110,0.030290922289219,0.009241949959984001,0.7514648,0.01229858,0.021048972329235,0.9016113,0.02334595
2019-03-25_01:13:37.344507,0.029611229347062,0.008862118379712,0.7513428,0.01179504,0.02074911096735,0.9017334,0.02301025
2019-03-25_01:13:37.728050,0.029907105927744003,0.008552580172968,0.7513428,0.01138306,0.021354525754776,0.9017334,0.02368164
2019-03-25_01:13:38.090223,0.030065585583372,0.008768976694479,0.7512207,0.01167297,0.021296608888893,0.9016113,0.02362061
2019-03-25_01:13:38.463188,0.029684587582116,0.009045551210904,0.7513428,0.01203918,0.020639036371212,0.9017334,0.02288818
2019-03-25_01:13:38.828586,0.029516359853468,0.008794760772152,0.7514648,0.01170349,0.020721599081316,0.9017334,0.02297974
2019-03-25_01:13:39.213627,0.029660789242344,0.008826294833889,0.7512207,0.01174927,0.020834494408455,0.9018555,0.02310181
2019-03-25_01:13:39.589238,0.029494692106346997,0.009183129591012,0.7513428,0.01222229,0.020311562515335,0.9018555,0.02252197
2019-03-25_01:13:39.966551,0.029322294721446,0.008793332946372,0.7513428,0.01170349,0.020528961775074,0.9017334,0.02276611
2019-03-25_01:13:40.348645,0.030144717492008002,0.009230490121784,0.7514648,0.01228333,0.020914227370224,0.9017334,0.02319336
2019-03-25_01:13:40.713783,0.029872617847847997,0.009206060573268,0.7513428,0.01225281,0.02066655727458,0.9017334,0.0229187
2019-03-25_01:13:41.098545,0.029778673151064,0.008644296588564,0.7513428,0.01150513,0.0211343765625,0.9017334,0.0234375
2019-03-25_01:13:41.487715,0.02901274089921,0.008621365606308,0.7513428,0.01147461,0.020391375292902,0.9017334,0.02261353
2019-03-25_01:13:41.894273,0.030830974867878003,0.009666211956768,0.7514648,0.01286316,0.02116476291111,0.9018555,0.02346802
2019-03-25_01:13:42.286798,0.029946050570016,0.008839194910884,0.7513428,0.01176453,0.021106855659132,0.9017334,0.02340698
2019-03-25_01:13:42.650185,0.029613007501998002,0.008976765777564,0.7513428,0.01194763,0.020636241724434002,0.9016113,0.02288818
2019-03-25_01:13:43.014617,0.030083360526867,0.008863557374592,0.7514648,0.01179504,0.021219803152275,0.9018555,0.02352905
2019-03-25_01:13:43.382150,0.029522688821639997,0.008746056950922,0.7512207,0.01164246,0.020776631870717998,0.9017334,0.02304077
2019-03-25_01:13:43.759641,0.029354430178752,0.008632831097435999,0.7513428,0.01148987,0.020721599081316,0.9017334,0.02297974
2019-03-25_01:13:44.139570,0.029576824771614,0.008965300286435999,0.7513428,0.01193237,0.020611524485178,0.9017334,0.02285767
