Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6461,4.97,0.13
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6435,4.95,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.5964,4.97,0.12
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6461,4.97,0.13
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6958,4.97,0.14
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6435,4.95,0.13
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6435,4.95,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.744,4.96,0.15
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6435,4.95,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.8449,4.97,0.17
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6461,4.97,0.13
2018-09-16_16:50:21,,,,,,,0.5952,4.96,0.12
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6461,4.97,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.5964,4.97,0.12
2018-09-16_16:50:21,,,,,,,0.6944,4.96,0.14
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_16:50:21,,,,,,,0.6448,4.96,0.13
2018-09-16_17:05:21,,,,,,,0.5952,4.96,0.12
