Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-10-18_21:57:52,,,,,,,0.6448,4.96,0.13
2018-10-18_21:57:52,,,,,,,0.8928,4.96,0.18
2018-10-18_21:57:52,,,,,,,0.9386,4.94,0.19
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.8892,4.94,0.18
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.6435,4.95,0.13
2018-10-18_21:57:52,,,,,,,0.6422,4.94,0.13
2018-10-18_21:57:52,,,,,,,0.5952,4.96,0.12
2018-10-18_21:57:52,,,,,,,0.8398,4.94,0.17
2018-10-18_21:57:52,,,,,,,0.741,4.94,0.15
2018-10-18_21:57:52,,,,,,,0.9424,4.96,0.19
2018-10-18_21:57:52,,,,,,,0.7425,4.95,0.15
2018-10-18_21:57:52,,,,,,,0.5976,4.98,0.12
2018-10-18_21:57:52,,,,,,,0.497,4.97,0.1
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.6916,4.94,0.14
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.5964,4.97,0.12
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.693,4.95,0.14
2018-10-18_21:57:52,,,,,,,0.6435,4.95,0.13
2018-10-18_21:57:52,,,,,,,0.498,4.98,0.1
2018-10-18_21:57:52,,,,,,,0.8398,4.94,0.17
2018-10-18_21:57:52,,,,,,,0.7425,4.95,0.15
2018-10-18_21:57:52,,,,,,,0.8398,4.94,0.17
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.6461,4.97,0.13
2018-10-18_21:57:52,,,,,,,0.744,4.96,0.15
2018-10-18_21:57:52,,,,,,,0.6958,4.97,0.14
2018-10-18_21:57:52,,,,,,,0.6461,4.97,0.13
2018-10-18_21:57:52,,,,,,,0.8398,4.94,0.17
2018-10-18_21:57:52,,,,,,,0.6435,4.95,0.13
2018-10-18_21:57:52,,,,,,,0.7425,4.95,0.15
2018-10-18_21:57:52,,,,,,,0.6461,4.97,0.13
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.5976,4.98,0.12
2018-10-18_21:57:52,,,,,,,0.8415,4.95,0.17
2018-10-18_21:57:52,,,,,,,0.5976,4.98,0.12
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.8398,4.94,0.17
2018-10-18_21:57:52,,,,,,,0.744,4.96,0.15
2018-10-18_21:57:52,,,,,,,0.5952,4.96,0.12
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.747,4.98,0.15
2018-10-18_21:57:52,,,,,,,0.8398,4.94,0.17
2018-10-18_21:57:52,,,,,,,0.6461,4.97,0.13
2018-10-18_21:57:52,,,,,,,0.7455,4.97,0.15
2018-10-18_21:57:52,,,,,,,0.6422,4.94,0.13
2018-10-18_21:57:52,,,,,,,0.8432,4.96,0.17
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.8928,4.96,0.18
2018-10-18_21:57:52,,,,,,,0.891,4.95,0.18
2018-10-18_21:57:52,,,,,,,0.6944,4.96,0.14
2018-10-18_21:57:52,,,,,,,0.747,4.98,0.15
2018-10-18_22:12:52,,,,,,,0.8432,4.96,0.17
