Time,,,,,,,Power,Volts,Amps
,,,,,,,,,
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.452,4.84,0.3
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.3978,4.82,0.29
2018-09-16_16:50:21,,,,,,,1.449,4.83,0.3
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.452,4.84,0.3
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.3496,4.82,0.28
2018-09-16_16:50:21,,,,,,,1.449,4.83,0.3
2018-09-16_16:50:21,,,,,,,1.449,4.83,0.3
2018-09-16_16:50:21,,,,,,,1.3978,4.82,0.29
2018-09-16_16:50:21,,,,,,,1.446,4.82,0.3
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.449,4.83,0.3
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.3978,4.82,0.29
2018-09-16_16:50:21,,,,,,,1.4007,4.83,0.29
2018-09-16_16:50:21,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.3978,4.82,0.29
2019-09-10_15:29:17,,,,,,,1.4007,4.83,0.29
2019-09-10_15:29:17,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.3978,4.82,0.29
2019-09-10_15:29:17,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.4942,4.82,0.31
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.4007,4.83,0.29
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.3978,4.82,0.29
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.4007,4.83,0.29
2019-09-10_15:29:17,,,,,,,1.443,4.81,0.3
2019-09-10_15:29:17,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.3978,4.82,0.29
2019-09-10_15:29:17,,,,,,,1.4942,4.82,0.31
2019-09-10_15:29:17,,,,,,,1.4007,4.83,0.29
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.5456,4.83,0.32
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.3978,4.82,0.29
2019-09-10_15:29:17,,,,,,,1.3949,4.81,0.29
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.3978,4.82,0.29
2019-09-10_15:29:17,,,,,,,1.4973,4.83,0.31
2019-09-10_15:29:17,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.3949,4.81,0.29
2019-09-10_15:29:17,,,,,,,1.449,4.83,0.3
2019-09-10_15:29:17,,,,,,,1.4942,4.82,0.31
2019-09-10_15:29:17,,,,,,,1.3949,4.81,0.29
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2019-09-10_15:29:17,,,,,,,1.4942,4.82,0.31
2019-09-10_15:29:17,,,,,,,1.446,4.82,0.3
2018-09-16_16:50:21,,,,,,,1.3978,4.82,0.29
2019-09-10_15:44:17,,,,,,,1.449,4.83,0.3
